month,level_1,level_2,level_3,level_4,value
1996-08,M3,M2,M1,Demand Deposits,16403.4
1996-08,M3,M2,Quasi-money,Fixed Deposits,59004.6
1996-08,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,780
1996-08,M3,M2,Quasi-money,Savings & Other Deposits,23369
1996-09,M3,M2,M1,Currency In Active Circulation,10072.4
1996-09,M3,M2,M1,Demand Deposits,16744.7
1996-09,M3,M2,Quasi-money,Fixed Deposits,58729.5
1996-09,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,788
1996-09,M3,M2,Quasi-money,Savings & Other Deposits,23514.6
1996-10,M3,M2,M1,Currency In Active Circulation,10092.8
1996-10,M3,M2,M1,Demand Deposits,16347.1
1996-10,M3,M2,Quasi-money,Fixed Deposits,58490.4
1996-10,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,821
1996-10,M3,M2,Quasi-money,Savings & Other Deposits,23636
1996-11,M3,M2,M1,Currency In Active Circulation,10199.6
1996-11,M3,M2,M1,Demand Deposits,16692.8
1996-11,M3,M2,Quasi-money,Fixed Deposits,59960.4
1996-11,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,844.5
1996-11,M3,M2,Quasi-money,Savings & Other Deposits,23964.9
1996-12,M3,M2,M1,Currency In Active Circulation,10240.5
1996-12,M3,M2,M1,Demand Deposits,16581.3
1996-12,M3,M2,Quasi-money,Fixed Deposits,59987
1996-12,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,844.5
1996-12,M3,M2,Quasi-money,Savings & Other Deposits,23877.8
1997-01,M3,M2,M1,Currency In Active Circulation,10443.8
1997-01,M3,M2,M1,Demand Deposits,17142.1
1997-01,M3,M2,Quasi-money,Fixed Deposits,58564.7
1997-01,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,843.5
1997-01,M3,M2,Quasi-money,Savings & Other Deposits,24472.6
1997-02,M3,M2,M1,Currency In Active Circulation,10515.9
1997-02,M3,M2,M1,Demand Deposits,17318.2
1997-02,M3,M2,Quasi-money,Fixed Deposits,59211.5
1997-02,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,843.5
1997-02,M3,M2,Quasi-money,Savings & Other Deposits,25246.3
1997-03,M3,M2,M1,Currency In Active Circulation,10675.4
1997-03,M3,M2,M1,Demand Deposits,17315
1997-03,M3,M2,Quasi-money,Fixed Deposits,62581.6
1997-03,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,812.5
1997-03,M3,M2,Quasi-money,Savings & Other Deposits,25065.4
1997-04,M3,M2,M1,Currency In Active Circulation,10540.5
1997-04,M3,M2,M1,Demand Deposits,17074.9
