half_year,level_1,level_2,value
2008-H2,All Items,Education,71.881
2008-H2,All Items,Miscellaneous Goods & Services,93.275
2009-H1,All Items,Food,81.943
2009-H1,All Items,Food Excl Food Serving Services,81.413
2009-H1,All Items,Food Serving Services,82.319
2009-H1,All Items,Clothing & Footwear,96.293
2009-H1,All Items,Housing & Utilities,89.455
2009-H1,All Items,Household Durables & Services,82.991
2009-H1,All Items,Health Care,80.748
2009-H1,All Items,Transport,74.135
2009-H1,All Items,Communication,107.867
2009-H1,All Items,Recreation & Culture,94.771
2009-H1,All Items,Education,72.405
2009-H1,All Items,Miscellaneous Goods & Services,93.31
2009-H2,All Items,Food,82.066
2009-H2,All Items,Food Excl Food Serving Services,81.178
2009-H2,All Items,Food Serving Services,82.663
2009-H2,All Items,Clothing & Footwear,97.946
2009-H2,All Items,Housing & Utilities,88.986
2009-H2,All Items,Household Durables & Services,83.414
2009-H2,All Items,Health Care,81.043
2009-H2,All Items,Transport,77.984
2009-H2,All Items,Communication,106.54
2009-H2,All Items,Recreation & Culture,93.512
2009-H2,All Items,Education,72.738
2009-H2,All Items,Miscellaneous Goods & Services,93.422
2010-H1,All Items,Food,82.762
2010-H1,All Items,Food Excl Food Serving Services,82.629
2010-H1,All Items,Food Serving Services,82.893
2010-H1,All Items,Clothing & Footwear,96.757
2010-H1,All Items,Housing & Utilities,90.266
2010-H1,All Items,Household Durables & Services,83.785
2010-H1,All Items,Health Care,81.76
2010-H1,All Items,Transport,81.349
2010-H1,All Items,Communication,104.336
2010-H1,All Items,Recreation & Culture,94.42
2010-H1,All Items,Education,74.233
2010-H1,All Items,Miscellaneous Goods & Services,93.739
2010-H2,All Items,Food,83.486
2010-H2,All Items,Food Excl Food Serving Services,83.756
2010-H2,All Items,Food Serving Services,83.369
2010-H2,All Items,Clothing & Footwear,98.648
2010-H2,All Items,Housing & Utilities,93.011
2010-H2,All Items,Household Durables & Services,84.229
2010-H2,All Items,Health Care,83.016
2010-H2,All Items,Transport,85.3
2010-H2,All Items,Communication,105.278
2010-H2,All Items,Recreation & Culture,95.149
2010-H2,All Items,Education,75.971
2010-H2,All Items,Miscellaneous Goods & Services,94.317
2011-H1,All Items,Food,85.064
